"period","timestamp","duration","possession_team.name","type.name","player.name","team.name","pass.length","pass.recipient.name","pass.outcome.name","ball_receipt.outcome.name","match_id","location.x","location.y","pass.end_location.x","pass.end_location.y"
"1","00:00:15.796","0.933","France","Pass","Benjamin Pavard","France","7.2111025","Corentin Tolisso",NA,NA,"7530","36","80","42","76"
"1","00:00:17.849","2.8","France","Pass","Benjamin Pavard","France","37.12142","Kylian Mbappé Lottin","Incomplete",NA,"7530","38","79","75","76"
"1","00:00:22.956","2.093","France","Pass","Corentin Tolisso","France","14.866069","Raphaël Varane",NA,NA,"7530","48","70","37","60"
"1","00:00:30.809","1.039","France","Pass","Corentin Tolisso","France","18.681541","Benjamin Pavard",NA,NA,"7530","39","63","21","68"
"1","00:00:34.889","2.427","France","Pass","Hugo Lloris","France","31.622776","Paul Pogba","Incomplete",NA,"7530","5","46","35","56"
"1","00:00:48.529","1.88","France","Pass","Hugo Lloris","France","26.925823","Raphaël Varane",NA,NA,"7530","12","38","26","61"
"1","00:00:55.129","2.96","France","Pass","Benjamin Pavard","France","36.796738","Hugo Lloris",NA,NA,"7530","41","74","16","47"
"1","00:01:06.448","0.88","France","Pass","Samuel Yves Umtiti","France","7.81025","Paul Pogba",NA,NA,"7530","45","15","51","10"
"1","00:01:10.088","2.201","France","Pass","Samuel Yves Umtiti","France","40","Raphaël Varane",NA,NA,"7530","47","21","47","61"
"1","00:01:15.929","0.68","France","Pass","Benjamin Pavard","France","5","Antoine Griezmann",NA,NA,"7530","73","78","78","78"
"1","00:01:18.809","0.759","France","Pass","Benjamin Pavard","France","12","Corentin Tolisso",NA,NA,"7530","66","78","66","66"
"1","00:01:26.329","1","France","Pass","N''Golo Kanté","France","14.764823","Benjamin Pavard",NA,NA,"7530","65","65","72","78"
"1","00:02:01.796","1.213","France","Pass","Antoine Griezmann","France","33.06055","Kylian Mbappé Lottin","Incomplete",NA,"7530","119","80","117","47"
"1","00:02:15.796","0.733","France","Pass","Paul Pogba","France","8.485281","Lucas Hernández Pi",NA,NA,"7530","106","10","100","4"
"1","00:02:19.729","1.586","France","Pass","Ousmane Dembélé","France","38.078865","Raphaël Varane",NA,NA,"7530","89","3","74","38"
"1","00:02:23.076","0.973","France","Pass","Corentin Tolisso","France","15.652476","Samuel Yves Umtiti",NA,NA,"7530","74","31","67","17"
"1","00:02:27.996","0.773","France","Pass","Kylian Mbappé Lottin","France","5","Ousmane Dembélé","Incomplete",NA,"7530","97","22","93","19"
"1","00:02:37.969","1.359","France","Pass","Benjamin Pavard","France","16.552946","Corentin Tolisso",NA,NA,"7530","79","76","72","61"
"1","00:02:44.649","1","France","Pass","Lucas Hernández Pi","France","15.524175","Ousmane Dembélé",NA,NA,"7530","83","7","79","22"
"1","00:02:53.489","1.76","France","Pass","Corentin Tolisso","France","40.311287","Benjamin Pavard",NA,NA,"7530","74","41","90","78"
"1","00:03:01.369","0.88","France","Pass","Corentin Tolisso","France","17.029387","N''Golo Kanté",NA,NA,"7530","65","61","66","44"
"1","00:03:07.956","1.173","France","Pass","Samuel Yves Umtiti","France","28.600698","Kylian Mbappé Lottin",NA,NA,"7530","69","14","92","31"
"1","00:05:26.676","3.2","France","Pass","Kylian Mbappé Lottin","France","34.828148","Ousmane Dembélé",NA,NA,"7530","54","30","76","3"
"1","00:05:36.036","1.213","France","Pass","Paul Pogba","France","11","Antoine Griezmann",NA,NA,"7530","95","30","95","41"
"1","00:06:00.356","0.773","France","Pass","Samuel Yves Umtiti","France","10.049875","Paul Pogba",NA,NA,"7530","47","19","57","20"
"1","00:06:03.849","1.4","France","Pass","N''Golo Kanté","France","39.012817","Benjamin Pavard",NA,NA,"7530","49","29","50","68"
"1","00:06:16.049","1.399","France","Pass","Antoine Griezmann","France","21.095022","Raphaël Varane",NA,NA,"7530","63","79","45","68"
"1","00:06:21.448","1.6","France","Pass","Samuel Yves Umtiti","France","27.202942","Lucas Hernández Pi",NA,NA,"7530","56","20","78","4"
"1","00:06:28.209","2.52","France","Pass","Paul Pogba","France","41.036568","Raphaël Varane",NA,NA,"7530","74","10","46","40"
"1","00:06:35.129","1.72","France","Pass","Samuel Yves Umtiti","France","35.846897","Ousmane Dembélé","Incomplete",NA,"7530","54","11","85","29"
"1","00:06:41.689","1.119","France","Pass","N''Golo Kanté","France","20.615528","Raphaël Varane",NA,NA,"7530","64","28","56","47"
"1","00:06:46.929","1","France","Pass","Benjamin Pavard","France","10.29563","Corentin Tolisso",NA,NA,"7530","77","75","72","66"
"1","00:06:51.609","1.88","France","Pass","Paul Pogba","France","34.132095","Lucas Hernández Pi",NA,NA,"7530","75","38","93","9"
"1","00:08:14.236","1.893","Australia","Pass","N''Golo Kanté","France","16.492422","Paul Pogba","Incomplete",NA,"7530","59","21","75","25"
"1","00:08:51.556","2.533","France","Pass","Raphaël Varane","France","17.691807","Hugo Lloris",NA,NA,"7530","25","34","13","47"
"1","00:09:02.649","2.16","France","Pass","Benjamin Pavard","France","24.596748","Raphaël Varane",NA,NA,"7530","28","79","17","57"
"1","00:09:09.769","1.72","France","Pass","Samuel Yves Umtiti","France","32.449963","Lucas Hernández Pi","Incomplete",NA,"7530","28","25","55","7"
"1","00:09:14.676","0.973","France","Pass","Paul Pogba","France","13","Lucas Hernández Pi",NA,NA,"7530","48","17","48","4"
"1","00:09:18.036","0.933","France","Pass","Samuel Yves Umtiti","France","7.615773","N''Golo Kanté",NA,NA,"7530","33","25","40","28"
"1","00:09:25.916","1.64","France","Pass","Raphaël Varane","France","28.635643","Antoine Griezmann",NA,NA,"7530","64","68","92","62"
"1","00:10:24.316","1.493","France","Pass","Raphaël Varane","France","14.3178215","Benjamin Pavard",NA,NA,"7530","25","61","28","75"
"1","00:10:28.196","1.253","France","Pass","N''Golo Kanté","France","11.401754","Benjamin Pavard",NA,NA,"7530","31","70","40","77"
"1","00:10:32.196","1.813","France","Pass","Corentin Tolisso","France","28.653097","Kylian Mbappé Lottin","Incomplete",NA,"7530","62","57","87","43"
"1","00:12:09.769","1.279","France","Pass","N''Golo Kanté","France","23.70654","Corentin Tolisso",NA,NA,"7530","24","33","35","54"
"1","00:12:17.076","1.76","France","Pass","Paul Pogba","France","34.058773","Antoine Griezmann",NA,NA,"7530","55","27","89","25"
"1","00:13:14.396","1.68","France","Pass","Antoine Griezmann","France","36.769554",NA,"Incomplete",NA,"7530","87","15","113","41"
"1","00:13:43.436","1.573","France","Pass","Corentin Tolisso","France","2.828427",NA,"Incomplete",NA,"7530","99","61","101","59"
"1","00:13:48.716","0.973","France","Pass","Corentin Tolisso","France","6.4031243","Benjamin Pavard","Incomplete",NA,"7530","88","77","83","73"
"1","00:13:53.796","0.52","France","Pass","Benjamin Pavard","France","6","Paul Pogba",NA,NA,"7530","74","79","74","73"
"1","00:13:58.796","0.973","France","Pass","Corentin Tolisso","France","11.313708","Kylian Mbappé Lottin","Incomplete",NA,"7530","88","76","96","68"
"1","00:14:11.636","2.253","Australia","Pass","Lucas Hernández Pi","France","26.076809","Ousmane Dembélé","Incomplete",NA,"7530","74","5","100","7"
"1","00:14:15.796","0.973","Australia","Pass","Samuel Yves Umtiti","France","9","Paul Pogba",NA,NA,"7530","64","17","73","17"
"1","00:17:57.876","2.812","France","Pass","Raphaël Varane","France","43.185646","Samuel Yves Umtiti",NA,NA,"7530","38","66","42","23"
"1","00:18:34.116","2.093","France","Pass","Samuel Yves Umtiti","France","22.847319","Hugo Lloris",NA,NA,"7530","13","4","4","25"
"1","00:18:40.888","1.8","France","Pass","Raphaël Varane","France","27.802877","Benjamin Pavard",NA,NA,"7530","25","60","47","77"
"1","00:19:13.476","1.933","France","Pass","Benjamin Pavard","France","25","Hugo Lloris",NA,NA,"7530","20","67","5","47"
"1","00:19:17.996","0.16","France","Pass","Corentin Tolisso","France","7.615773",NA,"Unknown",NA,"7530","35","75","42","72"
"1","00:19:47.796","0.893","France","Pass","Corentin Tolisso","France","9.219544","Raphaël Varane",NA,NA,"7530","50","65","43","71"
"1","00:19:52.836","2.933","France","Pass","Corentin Tolisso","France","44.14748","Samuel Yves Umtiti",NA,NA,"7530","52","64","42","21"
"1","00:20:00.929","1.226","France","Pass","Paul Pogba","France","22.825424","Lucas Hernández Pi",NA,NA,"7530","64","22","75","2"
"1","00:20:05.476","0.653","France","Pass","Ousmane Dembélé","France","6","Lucas Hernández Pi",NA,NA,"7530","96","5","90","5"
"1","00:20:19.836","3.013","France","Pass","Samuel Yves Umtiti","France","34.655445","Hugo Lloris",NA,NA,"7530","46","11","21","35"
"1","00:20:28.916","3.173","France","Pass","Benjamin Pavard","France","33.01515","Antoine Griezmann","Incomplete",NA,"7530","68","74","101","75"
"1","00:21:14.676","1.853","Australia","Pass","Lucas Hernández Pi","France","11.045361","Kylian Mbappé Lottin","Incomplete",NA,"7530","46","22","57","23"
"1","00:21:50.916","2.253","Australia","Pass","Samuel Yves Umtiti","France","36.796738","Ousmane Dembélé",NA,NA,"7530","29","29","56","4"
"1","00:22:39.916","1.653","France","Pass","Samuel Yves Umtiti","France","9.219544","Lucas Hernández Pi",NA,NA,"7530","33","9","39","2"
"1","00:23:03.529","1.426","France","Pass","Hugo Lloris","France","35.735138","Raphaël Varane",NA,NA,"7530","19","27","30","61"
"1","00:23:07.036","1.093","France","Pass","Benjamin Pavard","France","11.313708","Corentin Tolisso",NA,NA,"7530","51","77","59","69"
"1","00:23:16.636","1.12","France","Pass","Samuel Yves Umtiti","France","12.806249","Paul Pogba",NA,NA,"7530","43","15","53","7"
"1","00:23:20.076","1.813","France","Pass","Samuel Yves Umtiti","France","30.413813","Corentin Tolisso",NA,NA,"7530","51","28","56","58"
"1","00:23:27.276","0.573","France","Pass","Benjamin Pavard","France","9.055386","Antoine Griezmann",NA,NA,"7530","88","77","89","68"
"1","00:23:37.916","0.973","France","Pass","Corentin Tolisso","France","6.4031243","N''Golo Kanté",NA,NA,"7530","67","80","63","75"
"1","00:24:00.516","1.053","France","Pass","Benjamin Pavard","France","6.708204","N''Golo Kanté",NA,NA,"7530","76","80","73","74"
"1","00:24:02.876","1.053","France","Pass","Benjamin Pavard","France","11.401754","Corentin Tolisso",NA,NA,"7530","75","79","72","68"
"1","00:24:08.716","2.24","France","Pass","Paul Pogba","France","39.661064","Benjamin Pavard",NA,NA,"7530","73","40","106","62"
"1","00:24:22.889","2.96","France","Pass","Raphaël Varane","France","15.231546","N''Golo Kanté",NA,NA,"7530","51","66","65","72"
"1","00:24:51.916","3.173","France","Pass","Corentin Tolisso","France","50.219517","Samuel Yves Umtiti",NA,NA,"7530","47","77","36","28"
"1","00:24:56.809","1.546","France","Pass","Paul Pogba","France","10.049875","Lucas Hernández Pi",NA,NA,"7530","57","20","67","21"
"1","00:25:01.916","2.213","France","Pass","Ousmane Dembélé","France","19.026299","Paul Pogba",NA,NA,"7530","82","6","63","5"
"1","00:25:06.476","2.053","France","Pass","Samuel Yves Umtiti","France","39.293766","Corentin Tolisso",NA,NA,"7530","54","17","64","55"
"1","00:25:12.116","0.973","France","Pass","Kylian Mbappé Lottin","France","19.313208","Paul Pogba",NA,NA,"7530","74","41","67","23"
"1","00:25:15.316","0.933","France","Pass","Ousmane Dembélé","France","7.071068","Kylian Mbappé Lottin",NA,NA,"7530","88","26","95","27"
"1","00:25:42.916","1.573","France","Pass","Raphaël Varane","France","24.166092","N''Golo Kanté",NA,NA,"7530","26","53","36","31"
"1","00:25:48.556","0.933","France","Pass","Lucas Hernández Pi","France","10","Paul Pogba",NA,NA,"7530","58","4","64","12"
"1","00:25:53.156","1.173","France","Pass","Samuel Yves Umtiti","France","16.124516","N''Golo Kanté",NA,NA,"7530","47","12","39","26"
"1","00:25:58.876","1.56","France","Pass","Raphaël Varane","France","34.785053","Antoine Griezmann",NA,NA,"7530","53","67","86","78"
"1","00:26:53.316","3.133","Australia","Pass","Hugo Lloris","France","51.156624","Ousmane Dembélé","Incomplete",NA,"7530","4","41","55","37"
"1","00:28:10.596","1.413","France","Pass","Kylian Mbappé Lottin","France","15.297058","Benjamin Pavard",NA,NA,"7530","58","75","43","78"
"1","00:28:13.636","0.853","France","Pass","N''Golo Kanté","France","13.453624","Benjamin Pavard",NA,NA,"7530","50","67","41","77"
"1","00:28:17.436","2.373","France","Pass","Raphaël Varane","France","42.0119","Samuel Yves Umtiti",NA,NA,"7530","39","64","40","22"
"1","00:28:22.356","0.933","France","Pass","Paul Pogba","France","17.464249","Samuel Yves Umtiti",NA,NA,"7530","58","8","41","12"
"1","00:28:30.716","0.893","France","Pass","Antoine Griezmann","France","8.062258","Lucas Hernández Pi",NA,NA,"7530","103","5","99","12"
"1","00:28:59.236","4.453","France","Pass","Antoine Griezmann","France","21.377558",NA,"Incomplete",NA,"7530","112","1","116","22"
"1","00:29:43.636","1.613","France","Pass","N''Golo Kanté","France","28.319605","Antoine Griezmann",NA,NA,"7530","23","27","42","6"
"1","00:29:49.316","1.653","France","Pass","Corentin Tolisso","France","14.035668","Paul Pogba",NA,NA,"7530","49","42","48","28"
"1","00:29:57.036","1.413","France","Pass","Benjamin Pavard","France","11.661903","Kylian Mbappé Lottin",NA,NA,"7530","86","68","92","78"
"1","00:30:10.836","1.333","Australia","Pass","Raphaël Varane","France","6.0827627","Kylian Mbappé Lottin","Incomplete",NA,"7530","71","49","77","48"
"1","00:30:35.316","1.173","France","Pass","Paul Pogba","France","21.931713","Corentin Tolisso",NA,NA,"7530","82","18","73","38"
